tick,day,cost_of_goods,opinion_mean,opinion_std,opinion_min,opinion_max,disposition_mean,disposition_max,count_quiet,count_agitated,count_flight,count_protest,count_riot,count_mob,count_employed,count_unhoused,avg_connections,homophily
0,0,100.0,-0.011383822557523926,0.5622010601648219,-0.9457959073193751,0.9294415460681753,0.0,0.0,50,0,0,0,0,0,44,0,8.2,0.7637895590631395
700,0,100.0,-0.011383822557523926,0.5622010601648219,-0.9457959073193751,0.9294415460681753,-0.6358961493928582,-0.5661919089232674,50,0,0,0,0,0,44,0,8.2,0.8020820207260385
701,1,100.0,0.006719537797916466,0.5989267385228011,-0.9449339776463294,0.8907267266694346,-0.03999544283761306,0.7301989571067754,10,22,18,0,0,0,44,0,8.2,0.8261173301346232
702,1,100.0,0.006719537797916466,0.5989267385228011,-0.9449339776463294,0.8907267266694346,0.08929996211191794,0.7016861569181634,7,14,29,0,0,0,44,0,8.16,0.8695888569591317
703,2,100.0,0.0089860393846357,0.6109009139798933,-0.8618694109823309,0.8999513535415964,0.016414156704463667,0.4108266717006278,9,16,25,0,0,0,44,0,8.16,0.8824524091887823
704,2,100.0,0.0089860393846357,0.6109009139798933,-0.8618694109823309,0.8999513535415964,-0.02576094890333609,0.41571345727842346,11,17,22,0,0,0,44,0,8.16,0.8908806497189485
705,3,100.0,0.012377956923759332,0.6275010415253578,-0.8618694109823309,0.9231664145930403,-0.04682256201831447,0.2864006239402277,13,16,21,0,0,0,44,0,8.12,0.8971901264933902
706,3,100.0,0.013272826378044878,0.611728752226935,-0.8339500032486665,0.9011498652749234,0.020712959510705224,0.41922369849282637,7,16,27,0,0,0,44,0,8.08,0.9134607053096593
707,4,100.0,0.02025945048556305,0.6436740267592481,-0.8847256092937383,0.9058073518541223,-0.039126434141949364,0.3203667613250085,11,16,23,0,0,0,44,0,8.08,0.9146720756785016
708,4,100.0,0.02025945048556305,0.6436740267592481,-0.8847256092937383,0.9058073518541223,-0.09130071684614544,0.3590712619063319,17,11,22,0,0,0,44,0,8.08,0.9217944671707846
709,5,100.0,0.02648293662118788,0.6620426841169139,-0.9433720818968611,0.9427663410515947,-0.03549780370825217,0.5904740898155161,13,15,22,0,0,0,44,0,8.08,0.9268799463561872
710,5,100.0,0.02648293662118788,0.6620426841169139,-0.9433720818968611,0.9427663410515947,-0.09513488771507753,0.3772593498159482,17,15,18,0,0,0,44,0,8.04,0.9322770036714583
711,6,100.0,0.03239262023421175,0.6783622144865916,-0.9236302639317567,0.9522849193966662,0.01029819516952358,0.4962340831563944,10,15,25,0,0,0,44,0,7.96,0.9319663555015024
712,6,100.0,0.03239262023421175,0.6783622144865916,-0.9236302639317567,0.9522849193966662,0.05305882489203105,0.45600126317104706,5,16,29,0,0,0,44,0,7.84,0.9369635830062609
713,7,100.0,0.03422735792627135,0.6923629977701647,-0.9680948094433184,0.9716148574146928,0.038892106227641665,0.4770978475805435,7,18,25,0,0,0,44,0,7.8,0.9375467215979332
714,7,100.0,0.03422735792627135,0.6923629977701647,-0.9680948094433184,0.9716148574146928,0.0012816186621040237,0.3987012765735911,8,17,25,0,0,0,44,0,7.76,0.939041884267466
715,8,100.0,0.041482180558458356,0.7000024235910515,-0.9784475733280222,0.9816811001384455,0.02523894852978128,0.458454306632343,6,18,26,0,0,0,44,0,7.76,0.939546578394532
716,8,100.0,0.04262743816538556,0.6835659349079757,-0.9281590032775137,0.9745769455089242,0.08650402065376837,0.5480574126451366,3,14,33,0,0,0,44,0,7.76,0.9426666435658718
717,9,100.0,0.047050156461305656,0.7004352173629156,-0.9584776104218629,0.9768329048134551,0.07599372333659354,0.6876810110603634,5,15,30,0,0,0,44,0,7.76,0.9412208862080275
718,9,100.0,0.047050156461305656,0.7004352173629156,-0.9584776104218629,0.9768329048134551,0.0359329813181255,0.5206028039731625,7,15,28,0,0,0,44,0,7.76,0.9427084105377755
719,10,100.0,0.05158701915347885,0.7053997673373192,-0.9584776104218629,0.9768329048134551,0.0918674226697969,0.48616713788615096,2,16,32,0,0,0,44,0,7.76,0.9446788262167818
720,10,100.0,0.05158701915347885,0.7053997673373192,-0.9584776104218629,0.9768329048134551,0.033797873169335364,0.44859974938935565,5,18,27,0,0,0,44,0,7.72,0.9452949295387466
721,11,100.0,0.05888731559348494,0.7026797343860858,-0.9655751612480891,0.9739843577217981,0.0757230958004022,0.5272679181806778,2,17,31,0,0,0,44,0,7.6,0.9499608469466493
722,11,100.0,0.05888731559348494,0.7026797343860858,-0.9655751612480891,0.9739843577217981,-0.015865857720827686,0.4258772079501484,12,12,26,0,0,0,44,0,7.6,0.9514662811714613
723,12,100.0,0.06310745594252055,0.7153914837592987,-0.9655751612480891,0.9739843577217981,-0.1465192241173541,0.47525652800911744,21,15,14,0,0,0,44,0,7.6,0.9474151624510817
724,12,100.0,0.06310745594252055,0.7153914837592987,-0.9655751612480891,0.9739843577217981,-0.0938152404053063,0.5851313802379383,17,12,21,0,0,0,44,0,7.6,0.9481049406959922
725,13,100.0,0.06338433301385898,0.727408275421915,-0.9847965777873284,0.9908793814039495,-0.21626762307376832,0.39196178934803394,29,8,13,0,0,0,44,0,7.52,0.9508187334035331
726,13,100.0,0.06513835535993974,0.7109685277708667,-0.9732646908948558,0.9895373679085985,-0.14015249585796502,0.42804506534577824,22,13,15,0,0,0,44,0,7.52,0.9507131121211579
727,14,100.0,0.06353908023401617,0.7310857641851,-0.9732646908948558,0.996024113645345,-0.007059813707062275,0.6238482847661475,11,15,24,0,0,0,44,0,7.52,0.9548590370775234
728,14,100.0,0.06353908023401617,0.7310857641851,-0.9732646908948558,0.996024113645345,-0.04153427439451571,0.47961691712075327,12,15,23,0,0,0,44,0,7.52,0.9561200048108497
729,15,100.0,0.0661510964687426,0.7411171484503154,-0.990018094986746,0.998766697362843,-0.08720708154936309,0.4569266783283269,16,14,20,0,0,0,44,0,7.52,0.952772716903244
730,15,100.0,0.0661510964687426,0.7411171484503154,-0.990018094986746,0.998766697362843,-0.04143290814782701,0.3679264885336647,9,18,23,0,0,0,44,0,7.48,0.9540853066015288
731,16,100.0,0.06452505513249057,0.7341393998943059,-0.9446361115473368,0.9995872966570143,0.10200061521494845,0.9378243590510259,2,18,30,0,0,0,44,0,7.48,0.9549031940185558
732,16,100.0,0.06452505513249057,0.7341393998943059,-0.9446361115473368,0.9995872966570143,0.0888094724161428,0.4884680074101403,4,12,34,0,0,0,44,0,7.48,0.9553554854850534
